Computer #,Laptop Brand,Laptop Model,Laptop Type,Price ($CAD),CPU Brand,CPU Model,CPU Cores,CPU Speed(GHz),RAM (GB),Storage (GB),GPU,USB ports,Operating System,"Display Size ("")",Resolution Width (pixels),Resolution Height (pixels),Weight (lbs),Touchscreen,Quality Rating (out of 10),Speed Rating,Memory Rating,Display Rating,Overall Rating,Hyperlink
1,Acer,Aspire 5,Professional,476,Intel ,i5-1135G7,4,2.4,8,128,Intel UHD 620,4,Windows 10 Home,15.6,1920,1080,3.76,TRUE,7.1,7.8,7,7.2,7.3,https://www.acer.com/ac/en/IL/content/model/NX.A1HEC.005 
2,Asus,Chromebook Detachable CM3,Professional,399,MediaTek ,Kompanio 500(8183),8,2,4,128,Integrated Arm Mali-G72 MP3,2,Chrome,10.5,1920,1200,1.12,TRUE,7,8,6,5.5,6.6,https://www.asus.com/ca-en/Laptops/For-Home/Chromebook/ASUS-Chromebook-Detachable-CM3-CM3000/techspec/ 
3,HP,Stream 11,Student,295.24,Intel ,Celeron N2840 ,2,2.16,4,32,Intel UHD 600,2,Windows 8.1 with Bing (64-bit),11.6,1366,768,2.74,FALSE,6.3,2.3,4,3.5,4,https://support.hp.com/ca-en/document/c04490851 
4,Asus,Chromebook 317,Student,399.99,Intel ,Pentium Silver,4,1.1,4,128,Intel UHD,4,Chrome OS™,17.3,1920,1080,5.3,FALSE,7.8,2,4,6.1,5,https://www.acer.com/ac/en/GB/content/model/NX.AQ2EK.002
5,Lenovo,Chromebook Duet,Creative,389.99,MediaTek ,Helio P60T Processor,8,2,4,64,ARM G72 MP3,2,Chrome OS 32 bit,10.1,1920,1200,2,TRUE,8.8,6.8,7,5.2,7,https://www.lenovo.com/ca/en/p/laptops/lenovo/lenovo-edu-chromebooks/lenovo-chromebook-duet-10/zziczctct1x?orgRef=https%253A%252F%252Fwww.google.com%252F 
6,HP,Chromebook x2,Student,420.99,Intel,Core m3-7Y30,2,2.6,4,32,Intel HD 615,2,Chrome OS™,12.3,2400,1600,3.1,TRUE,8,2.4,6,6.6,5.8,https://support.hp.com/ca-en/document/c06071109
7,Lenovo,Duet 5 Chromebook,Student,499.99,Qualcomm,Snapdragon SC7180,1,2.55,8,128,N/A,4,Chrome OS 32 bit,13.3,1920,1080,2.2,TRUE,9.2,1.5,7,6,5.9,https://www.lenovo.com/ca/en/p/laptops/lenovo/lenovo-edu-chromebooks/ideapad-duet-5-chromebook-gen-6-(13-inch-qcom)/len101i0023 orgRef=https%253A%252F%252Fwww.google.com%252F 
8,HP,Chromebook 15,Professional,419.99,Intel,i3-8130,2,2.3,4,128,Intel UHD 620,2,Chrome OS,15.6,1920,1080,4,TRUE,8.8,2.3,3,7.5,5.4,https://www.amazon.ca/HP-Chromebook-15-de0010nr-Pentium-Ceramic/dp/B07QQVPFLF
9,Lenovo,Chromebook Flex 5,Professional,359.99,Intel ,i3-10110U,2,3.1,4,64,Intel UHD,2,Chrome OS 64 bit,13.3,1920,1080,2.9,TRUE,9.2,2.5,6,6.6,6.1,https://www.lenovo.com/ca/en/p/laptops/lenovo/lenovo-edu-chromebooks/ideapad-f5-cb-13cml-05/88ipfc51448?orgRef=https%253A%252F%252Fwww.google.com%252F
10,Samsung,Chromebook 4,Student,229.99,Intel ,Celeron 3000N,2,1.85,4,32, Intel UHD 600,2,Chrome OS,11.6,1366,768,2.6,FALSE,7.6,1,7,3.7,4.8,https://www.samsung.com/us/computing/chromebooks/under-12/chromebook-4-11-6-32gb-storage-4gb-ram-xe310xba-k01us/#specs
11,Lenovo,IdeaPad 3,Student,729.99,AMD,Ryzen 3 5300U,4,3.8,8,256,AMD Radeon Graphics,3,Windows 11,15.6,1920,1080,3.74,FALSE,8.2,6,7,6.4,6.9,https://www.staples.ca/products/3020340-en-lenovo-ideapad-3-156-fhd-laptop-amd-ryzen-3-5300u-8gb-ram-256gb-ssd-amd-radeon-graphics-windows-11
